command,mean,stddev,median,user,system,min,max
N=100_M=50_many,1.2609349583,0.010958206037659473,1.259137458,1.1971516,0.0589146,1.242832083,1.279864584
N=100_M=75_zero,3.2357395208000006,0.018053113836822083,3.2347981665,3.0885103000000003,0.14122949999999998,3.212680625,3.270251292
N=100_M=75_one,3.2280908707,0.008758880680683683,3.2273364375,3.0834032000000002,0.1380732,3.216047083,3.244982625
N=100_M=75_many,3.2440109332999993,0.017419828570909922,3.2429705,3.0941757,0.14121319999999998,3.22609625,3.287066375
N=100_M=100_zero,5.7166819457,0.027691066254737082,5.705325042,5.4583733,0.2504791,5.686592583,5.774994458
N=100_M=100_one,5.7215141832,0.03391253575635442,5.7099321455,5.465815899999999,0.24695039999999996,5.6836165,5.787022958
N=100_M=100_many,5.7225419042,0.028160844383738778,5.720592104,5.467356,0.2453237,5.688822833,5.7870909170000004
N=150_M=10_zero,0.09012357940000001,0.0003517029520642529,0.090076917,0.08467119999999997,0.0044271,0.089568667,0.090774958
N=150_M=10_one,0.0900909083,0.0002937182954041537,0.09017027100000001,0.0846497,0.0043979,0.08955420800000001,0.090478291
N=150_M=10_many,0.09143920420000001,0.0009549856343829131,0.0912571045,0.0858324,0.004553999999999999,0.09067066700000001,0.09403729200000001
N=150_M=25_zero,0.5297618706,0.004304478240623589,0.5281836664999999,0.4965820000000001,0.030377299999999996,0.525999208,0.538493375
N=150_M=25_one,0.5328961249,0.007932458092114012,0.530847729,0.4994012999999999,0.030899699999999995,0.5241768330000001,0.548762666
N=150_M=25_many,0.5308069752000002,0.004297015961222975,0.5310873545000001,0.49913569999999996,0.029212099999999998,0.5231990830000001,0.537352292
N=150_M=50_zero,2.4592913000000003,0.005106512534057003,2.4575450415000004,2.3453996,0.10837730000000001,2.454276917,2.467611833
N=150_M=50_one,2.4517592084,0.0038853224761647193,2.4525594164999998,2.3387736,0.1063011,2.445012375,2.455418084
N=150_M=50_many,2.4654972957999997,0.008141532837608226,2.461688208,2.3496821999999997,0.10986279999999997,2.4588277080000003,2.48237575
N=150_M=75_zero,6.1796810540000005,0.026727706658735383,6.175487958,5.9015131,0.26944539999999995,6.144468625,6.227609542
N=150_M=75_one,6.1719448249,0.02417787198346323,6.171536271,5.8989214,0.26399549999999994,6.137807792,6.204541208
N=150_M=75_many,6.191077141799999,0.019610233478754072,6.1915787085,5.917638299999999,0.26455139999999994,6.151004083,6.22174275
N=150_M=100_zero,10.963474533200001,0.058873800246140154,10.944348812000001,10.3922472,0.5611914,10.906044667,11.089026
N=150_M=100_one,10.939714795800002,0.04879034994868135,10.9212175625,10.3490423,0.5782239,10.88046325,11.008168875
N=150_M=100_many,10.922997658199998,0.05263952549309974,10.9014557495,10.348465299999997,0.5643243,10.875029875,11.022966791
N=200_M=10_zero,0.14414747500000002,0.001275153862386549,0.143823854,0.13604009999999997,0.0069077,0.142025,0.146263417
N=200_M=10_one,0.14388922090000003,0.0005289189168259357,0.143755209,0.13571759999999997,0.0069546,0.142805166,0.144571959
N=200_M=10_many,0.14536485000000002,0.0011093000958006497,0.1452793335,0.13688859999999997,0.0073059,0.143651833,0.147377625
N=200_M=25_zero,0.8563340542000001,0.005952373395227817,0.8550857915000001,0.8080706,0.04528069999999999,0.8514817920000001,0.8712552920000001
N=200_M=25_one,0.8490640832999998,0.004131749887047545,0.849250125,0.8058347999999999,0.039929,0.8420833750000001,0.8577300000000001
N=200_M=25_many,0.8547712791000001,0.006007069480851944,0.8544565205000001,0.8089365,0.042450699999999994,0.8446887080000001,0.865990625
N=200_M=50_zero,4.148397816499999,0.03878933513770125,4.148301708,3.9523995999999997,0.1869909,4.090065833,4.2183305
N=200_M=50_one,4.1173595917000005,0.009842869280630093,4.113922499999999,3.9328704,0.1781548,4.110089708,4.142478875
N=200_M=50_many,4.137356275,0.011908829751324084,4.1408718545,3.9457464999999994,0.186251,4.115494333,4.153269958
N=200_M=75_zero,10.310790791799999,0.039677012314299424,10.300284688,9.8225286,0.4796115,10.286803041,10.420094084
N=200_M=75_one,10.311523512499999,0.03938030573935587,10.303924167,9.8214152,0.47963829999999996,10.263473458,10.376604709
N=200_M=75_many,10.375019254,0.0412319505227112,10.360004604,9.859025599999999,0.5026379999999999,10.333992167,10.453547833
N=200_M=100_zero,18.222922004,0.09942916641521164,18.214958354,17.1580599,1.0456329,18.08918775,18.40696525
N=200_M=100_one,18.1838041127,0.027001847445798245,18.1921412915,17.173923399999996,0.997304,18.143036375,18.232672209
N=200_M=100_many,18.1933406582,0.07121378706466504,18.196137896,17.1742565,1.0000132000000002,18.089419916,18.299157875

